Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5agoMVti9BD9njZwL1n8bH,"Fly","Fly","Txmmy",2019-09-14,148242,22,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:06:18Z,"","873764 Records DK",0.661,0.408,1,-9.343,0,0.133,0.316,0,0.225,0.369,170,4
0b8XW1GPkFmA8TNsOcudi7,"Brand New Choppa","Hustle Gang Presents: G.D.O.D. 2","Hustle Gang,Travis Scott,Young Dro,Yung Booke,T.I.,Meek Mill",2014-10-21,281240,25,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:06:21Z,"atl hip hop,dirty south rap,trap,rap,slap house,crunk,futuristic swag,old school atlanta hip hop,southern hip hop,atl trap,gangster rap,hip hop,pop rap,philly rap","HGGH",0.649,0.45,1,-10.437,1,0.0417,0.00174,0,0.108,0.169,128.058,4
5RluxeB9xx76T3Tmy3r2wy,"I Wonna","Box Of Pandora","Yunkie K,Travis Scott,Bad Flow",2020-12-01,262817,14,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:06:26Z,"rap,slap house,moroccan pop,north moroccan rap,rap maroc","ouvemais",0.697,0.708,8,-7.084,1,0.0881,0.218,0.0000607,0.549,0.0991,117.923,4
0MHhf7xmOQhNdawiHJCFy9,"Deserve (feat. Travis Scott) - YehMe2 Remix","Deserve (feat. Travis Scott) [YehMe2 Remix]","Kris Wu,Travis Scott,YehMe2",2017-12-20,212571,16,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:06:29Z,"chinese hip hop,chinese idol pop,rap,slap house,electronic trap","Ace Unit Culture Media Co., Limited",0.724,0.666,0,-2.627,1,0.0533,0.0000345,0.538,0.0951,0.157,140.01,4
4GQTIkqTg01v5DB2NMZ8Wy,"F*cks (feat. B.o.B, Chip, Travis Scott & Tha Truth)","Hustle Gang","T.I.,Travis Scott,B.o.B,Tha Truth",2013-06-18,315360,11,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:06:34Z,"atl hip hop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,slap house,dance pop,contemporary r&b","Dundridge Entertainment/Unlimited Business",0.718,0.636,8,-4.607,1,0.412,0.169,0,0.342,0.667,124.941,4
0jK9wC1DCaEnWuCuyCDNBn,"Night Riders","Night Riders","Major Lazer,Travis Scott,2 Chainz,Pusha T,Mad Cobra",2015-04-21,233333,19,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:06:38Z,"dance pop,edm,electro house,moombahton,pop,pop dance,rap,slap house,atl hip hop,hip hop,pop rap,southern hip hop,trap,gangster rap,virginia hip hop,dancehall,old school dancehall,reggae fusion","Third Pardee Records",0.63,0.888,11,-2.388,0,0.0995,0.0761,0.00000194,0.26,0.561,141.019,4
2XUoFxgEg7ydw50raCgj7U,"Mayweather (feat. Travi$ Scott)","On August 4ourth","Twanup,Travis Scott",2015-08-04,257726,13,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:06:44Z,"rap,slap house","Exchange Currency Records",0.488,0.471,4,-11.678,0,0.196,0.346,0,0.121,0.193,64.315,4
0Y5MzNGqOZV6et4SMJbSSb,"She Love Me (feat. Travis Scott)","She Love Me (feat. Travis Scott)","Philly Swain,Travis Scott",2017-11-24,223375,30,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:06:48Z,"rap,slap house","X-Ray Records, a division of Cleopatra Records, Inc.",0.498,0.794,1,-5.847,1,0.155,0.0207,0,0.339,0.497,105.574,4
6LH3YJHp0nYQLunDCYF0bR,"Oh Me Oh My - Malaa Remix","Oh Me Oh My (Malaa Remix)","DJ Snake,Travis Scott,Migos,GASHI,Malaa",2017-03-20,259795,16,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:06:52Z,"dance pop,edm,electronic trap,pop,pop dance,rap,slap house,atl hip hop,hip hop,pop rap,southern hip hop,trap,deep underground hip hop,bass house,brostep,electro house,house","DJ Snake Def Jam",0.873,0.722,7,-4.721,1,0.0532,0.0139,0.0204,0.0481,0.223,121.997,4
3iILOgwJ2lSuNhmrpnPl70,"Baptized In Fire","Best Of Rap","Kid Cudi,Travis Scott",2020-09-08,285520,0,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:06:56Z,"hip hop,ohio hip hop,pop rap,rap,slap house","UME - Global Clearing House",0.673,0.611,4,-8.385,0,0.191,0.606,0.0179,0.116,0.754,152.059,4
